Date,Open,High,Low,Close,Adj Close,Volume
2021-12-28,171.130005,171.770004,171.110001,171.449997,168.053314,1169600
2021-12-29,171.539993,172.460007,171.509995,172.089996,168.680634,1019500
2021-12-30,172.300003,172.729996,171.369995,171.550003,168.151337,1170300
2021-12-31,171.470001,172.350006,171.179993,171.750000,168.347382,1046300
2022-01-03,171.860001,172.110001,169.880005,171.190002,167.798462,3017500
2022-01-04,171.750000,172.669998,171.630005,172.210007,168.798264,2063300
2022-01-05,172.330002,172.869995,170.369995,170.429993,167.053528,2329500
2022-01-06,170.199997,170.779999,169.690002,169.889999,166.524216,2023400
2022-01-07,169.600006,169.679993,168.690002,169.039993,165.691055,2166100
2022-01-10,168.250000,168.250000,166.190002,168.020004,164.691284,3615100
2022-01-11,168.050003,168.710007,166.509995,168.710007,165.367615,2130900
2022-01-12,169.070007,169.740005,168.520004,169.029999,165.681274,1658900
2022-01-13,169.509995,169.789993,167.500000,167.820007,164.495224,2208600
2022-01-14,166.619995,167.110001,165.570007,166.779999,163.475845,2055300
2022-01-18,165.419998,165.500000,163.320007,164.240005,160.986176,3460600
2022-01-19,164.880005,165.470001,163.110001,163.220001,159.986359,2204000
2022-01-20,163.619995,165.270004,161.320007,161.440002,158.241623,2596700
2022-01-21,161.410004,162.949997,159.789993,159.789993,156.624298,4179600
2022-01-24,158.250000,160.910004,155.470001,160.740005,157.555496,5476800
2022-01-25,158.600006,160.449997,156.300003,158.929993,155.781342,3065300
2022-01-26,160.369995,161.529999,157.080002,158.389999,155.252045,3700600
2022-01-27,159.750000,161.070007,157.229996,157.839996,154.712952,2783700
2022-01-28,158.080002,160.869995,156.279999,160.789993,157.604507,2615100
2022-01-31,160.020004,162.740005,159.820007,162.639999,159.417862,2332800
2022-02-01,162.880005,163.649994,161.740005,163.509995,160.270615,2003900
2022-02-02,163.500000,165.509995,163.419998,165.259995,161.985947,1874800
2022-02-03,164.250000,164.820007,162.860001,163.070007,159.839340,1597900
2022-02-04,162.110001,163.529999,160.889999,162.350006,159.133606,1709700
2022-02-07,162.630005,162.820007,161.309998,161.729996,158.525894,1985600
2022-02-08,161.990005,163.490005,161.729996,163.100006,159.868744,1377500
2022-02-09,164.520004,165.179993,164.470001,165.050003,161.780121,1389600
2022-02-10,163.020004,164.860001,161.380005,162.080002,158.868958,1832000
2022-02-11,162.119995,162.889999,159.050003,159.500000,156.340073,1604800
2022-02-14,159.259995,159.800003,157.539993,158.800003,155.653946,1808400
2022-02-15,160.410004,161.369995,160.240005,160.889999,157.702530,1188400
2022-02-16,160.419998,161.750000,159.720001,161.210007,158.016205,1289000
2022-02-17,160.220001,160.470001,158.500000,158.729996,155.585327,1255300
2022-02-18,158.809998,159.419998,157.600006,158.270004,155.134445,1281600
2022-02-22,157.490005,158.539993,155.589996,156.660004,153.556335,2018800
2022-02-23,157.639999,157.839996,154.169998,154.360001,151.301910,1922500
2022-02-24,151.149994,155.240005,150.779999,155.070007,151.997833,4295400
2022-02-25,155.440002,159.179993,155.440002,159.070007,155.918594,1838600
2022-02-28,156.600006,158.550003,156.130005,158.080002,154.948196,2111300
2022-03-01,157.380005,158.330002,154.919998,155.779999,152.693756,1777400
2022-03-02,156.539993,159.309998,156.279999,158.619995,155.477493,1609200
2022-03-03,159.500000,160.279999,158.050003,158.910004,155.761765,1245800
2022-03-04,157.330002,158.830002,156.660004,158.559998,155.418686,1233900
2022-03-07,157.789993,158.059998,154.669998,154.759995,151.693970,1620700
2022-03-08,154.770004,156.449997,152.589996,152.589996,149.566971,2547800
2022-03-09,155.630005,156.630005,154.740005,155.679993,152.595734,1416100
2022-03-10,153.820007,155.220001,153.169998,154.880005,151.811584,1725600
2022-03-11,155.649994,156.210007,153.289993,153.440002,150.400116,1172100
2022-03-14,154.350006,155.869995,153.160004,153.699997,150.654968,1645300
2022-03-15,154.960007,157.369995,154.720001,157.089996,153.977814,1437600
2022-03-16,158.130005,159.339996,156.050003,159.240005,156.085220,1417400
